datetime,open,high,low,close,volume
2024-08-18 20:00:00,59708.38,59800.0,59682.63,59736.44,128.11877
2024-08-18 20:30:00,59736.43,59869.77,59715.99,59814.53,142.77079
2024-08-18 21:00:00,59814.53,59814.53,59603.95,59675.77,157.65661
2024-08-18 21:30:00,59675.77,59747.77,59311.14,59439.33,307.20413
2024-08-18 22:00:00,59439.33,59577.88,59412.73,59463.63,203.70917
2024-08-18 22:30:00,59463.63,59471.07,59350.0,59350.0,111.79415
2024-08-18 23:00:00,59350.0,59407.61,58929.12,59016.01,829.18326
2024-08-18 23:30:00,59016.0,59084.26,58408.92,58427.35,1185.37182
2024-08-19 00:00:00,58427.35,58710.0,58210.03,58432.62,1449.62552
2024-08-19 00:30:00,58432.63,58676.0,58258.31,58346.03,808.64159
2024-08-19 01:00:00,58346.03,58515.01,58216.33,58448.45,1017.31589
2024-08-19 01:30:00,58448.45,58630.0,58418.5,58564.0,657.54069
2024-08-19 02:00:00,58564.0,58638.0,58427.07,58606.14,272.91233
2024-08-19 02:30:00,58606.14,58748.0,58551.1,58670.51,299.0441
2024-08-19 03:00:00,58670.51,58734.38,58561.87,58680.16,232.53117
2024-08-19 03:30:00,58680.15,58763.83,58642.16,58736.85,249.34818
2024-08-19 04:00:00,58736.85,58746.0,58523.01,58547.6,189.40118
2024-08-19 04:30:00,58547.59,58642.76,58450.0,58582.0,257.19645
2024-08-19 05:00:00,58581.99,58612.0,58426.99,58445.76,223.58967
2024-08-19 05:30:00,58445.76,58595.16,58359.5,58475.18,374.00233
2024-08-19 06:00:00,58475.19,58530.01,58388.85,58491.78,249.86267
2024-08-19 06:30:00,58491.78,58660.84,58480.07,58570.0,220.42483
2024-08-19 07:00:00,58570.0,58745.82,58540.01,58552.01,306.98967
2024-08-19 07:30:00,58552.01,58644.54,58500.0,58502.19,256.16523
2024-08-19 08:00:00,58502.19,58626.93,58403.16,58614.0,375.69385
2024-08-19 08:30:00,58614.0,58660.85,58525.99,58608.27,180.30237
2024-08-19 09:00:00,58608.28,58668.13,58580.0,58624.01,191.30819
2024-08-19 09:30:00,58624.0,58671.38,57965.6,58006.59,1489.37852
2024-08-19 10:00:00,58006.6,58199.28,57787.3,58153.43,1153.48032
2024-08-19 10:30:00,58153.43,58162.0,58031.22,58046.01,384.95791
2024-08-19 11:00:00,58046.01,58186.03,57984.18,57987.98,319.3623
2024-08-19 11:30:00,57987.99,58520.21,57987.98,58396.95,649.57396
2024-08-19 12:00:00,58396.94,58520.13,58264.0,58441.89,312.41412
2024-08-19 12:30:00,58441.89,58480.4,58368.7,58412.0,224.10193
2024-08-19 13:00:00,58412.01,58920.15,58412.0,58766.82,837.63988
2024-08-19 13:30:00,58766.82,58970.0,58029.77,58199.99,1206.47591
2024-08-19 14:00:00,58200.0,58535.04,58075.49,58247.99,840.29418
2024-08-19 14:30:00,58248.0,58633.34,58211.38,58617.42,452.75353
2024-08-19 15:00:00,58617.42,58749.99,58510.01,58666.0,433.67591
2024-08-19 15:30:00,58666.01,58777.0,58539.24,58539.24,320.96431
2024-08-19 16:00:00,58539.25,58649.2,58469.83,58594.0,345.80101
2024-08-19 16:30:00,58594.0,58716.11,58380.0,58705.99,306.07764
2024-08-19 17:00:00,58706.0,58879.0,58555.92,58843.99,450.05555
2024-08-19 17:30:00,58843.99,59290.0,58783.03,59021.61,934.36288
2024-08-19 18:00:00,59021.61,59044.0,58732.0,58966.55,344.81129
2024-08-19 18:30:00,58966.55,59235.93,58932.7,59011.99,309.83656
2024-08-19 19:00:00,59012.0,59114.0,58873.87,58994.0,224.8635
2024-08-19 19:30:00,58993.99,59130.83,58876.0,58967.53,253.6697
2024-08-19 20:00:00,58967.54,59175.0,58914.0,59076.01,288.73578
2024-08-19 20:30:00,59076.01,59342.11,59064.53,59080.01,393.37516
2024-08-19 21:00:00,59080.02,59157.39,58987.89,59044.0,276.00872
2024-08-19 21:30:00,59044.01,59242.74,58967.53,58967.54,320.80908
2024-08-19 22:00:00,58967.54,59143.27,58967.54,59085.14,194.60478
2024-08-19 22:30:00,59085.14,59280.01,59080.0,59241.0,354.5273
2024-08-19 23:00:00,59240.99,59525.76,59089.95,59346.48,984.40375
2024-08-19 23:30:00,59346.47,59617.63,59310.9,59438.5,390.40112
2024-08-20 00:00:00,59438.5,60372.5,59363.31,60293.97,1450.21193
2024-08-20 00:30:00,60293.97,60643.51,60150.76,60482.78,1730.79074
2024-08-20 01:00:00,60482.77,60910.55,60458.07,60560.0,1268.56883
2024-08-20 01:30:00,60559.99,60636.37,60378.02,60446.03,501.88945
2024-08-20 02:00:00,60446.04,60552.64,60336.97,60372.31,463.57436
2024-08-20 02:30:00,60372.31,60529.0,60370.0,60528.83,329.18613
2024-08-20 03:00:00,60528.84,60600.0,60422.37,60552.63,283.1432
2024-08-20 03:30:00,60552.63,60619.19,60511.68,60619.18,364.98173
2024-08-20 04:00:00,60619.19,61000.0,60576.06,60800.0,1246.39043
